Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0350294E;Ecole primaire publique Henri Dès;Ecole;Public;15 rue de la Mairie;;35850 IRODOUER;35850;35135;Irodouër;035;14;53;1;1;;;;0299398126;;;ecole.0350294E@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350135600074;175;;48.247663193813466, -1.9440895002464378;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;333234.9;6805632.7;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.247663193813466;-1.9440895002464378;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350057X;;;;
0350306T;Ecole primaire publique Janusz Korczak;Ecole;Public;21 rue des Chênes;;35630 LANGOUET;35630;35146;Langouet;035;14;53;1;1;;;;0299699520;;;ecole.0350306T@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350146300037;88;;48.25019995738155, -1.8249520072533933;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;342078.9;6805367.4;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.25019995738155;-1.8249520072533933;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350057X;;;;
0350361C;Ecole maternelle publique le Pays Pourpré;Ecole;Public;8 ruelle des Ecoles;;35160 MONTFORT SUR MEU;35160;35188;Montfort-sur-Meu;035;14;53;1;0;;;;0299090747;;;ecole.0350361C@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350188500064;101;;48.137654623590954, -1.9602600431946442;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;331269.4;6793506.1;EPSG:2154;Circonscription d'inspection du 1er degré de Montfort-sur-Meu;48.137654623590954;-1.9602600431946442;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0351791G;;;;
0350396R;Ecole primaire publique intercommunale des 2 Provinces;Ecole;Public;Rue de la Gravelle;;35370 LE PERTRE;35370;35217;Le Pertre;035;14;53;1;1;;;;0299969326;;;ecole.0350396R@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350217200082;75;;48.0375947495534, -1.0362400165455738;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;399323.4;6778487.7;EPSG:2154;Circonscription d'inspection du 1er degré de Vitré;48.0375947495534;-1.0362400165455738;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351909K;;;;
0350423V;Ecole primaire publique Henri Matisse;Ecole;Public;10 boulevard de la Liberté;;35600 REDON;35600;35236;Redon;035;14;53;1;1;;;;0299711261;;;ecole.0350423V@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350236200055;140;;47.65410443522096, -2.082550277555029;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;318735.1;6740465.6;EPSG:2154;Circonscription d'inspection du 1er degré de Redon;47.65410443522096;-2.082550277555029;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0351969A;;;;
0350551J;Ecole primaire publique de St Suliac;Ecole;Public;1 rue de la Gare;;35430 ST SULIAC;35430;35314;Saint-Suliac;035;14;53;1;1;;;;0299583200;;;ecole.0350551J@ac-rennes.fr;0;0;0;;;;;;;;;;;;;;;21350314700026;89;;48.571261817176726, -1.969699611993382;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;333599.9;6841650.0;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Malo Ville;48.571261817176726;-1.969699611993382;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350044H;;;;
0350594F;Ecole élémentaire publique Champion de Cicé;Ecole;Public;44 rue Champion de Cice;;35000 RENNES;35000;35238;Rennes;035;14;53;0;1;;;;0257213027;;;ecole.0350594F@ac-rennes.fr;1;0;1;;;;;;;;;;;;;;;21350238800308;269;;48.10256797253777, -1.7059795378895357;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;349916.6;6788456.8;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Centre Sud;48.10256797253777;-1.7059795378895357;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350760L;;;;
0350612A;Ecole élémentaire publique Jean Zay;Ecole;Public;3 E place Saint Melaine;;35000 RENNES;35000;35238;Rennes;035;14;53;0;1;;;;0257213056;;;ecole.0350612A@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238801389;208;;48.11508118664751, -1.6730331051936247;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352446.9;6789699.4;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Ouest;48.11508118664751;-1.6730331051936247;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350895H;;;;
0350626R;Ecole élémentaire publique Camille Claudel;Ecole;Public;102 boulevard la Duchesse Anne;;35700 RENNES;35700;35238;Rennes;035;14;53;0;1;;;;0257213022;;;ecole.0350626R@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238801462;112;;48.120612220201146, -1.6682155726029975;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352841.1;6790291.8;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Est;48.120612220201146;-1.6682155726029975;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350027P;;;;
0350639E;Ecole élémentaire publique Villeneuve;Ecole;Public;38 rue Ginguene;;35000 RENNES;35000;35238;Rennes;035;14;53;0;1;;;;0257213090;;;ecole.0350639E@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238800381;173;;48.09882164414123, -1.682099564671616;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;351666.3;6787935.6;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Centre Sud;48.09882164414123;-1.682099564671616;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350760L;;;;
0350643J;Ecole maternelle publique Champion de Cicé;Ecole;Public;44 rue Champion de Cice;;35000 RENNES;35000;35238;Rennes;035;14;53;1;0;;;;0257213028;;;ecole.0350643J@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238800191;215;;48.102696941741435, -1.705820104910126;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;349929.3;6788470.4;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Centre Sud;48.102696941741435;-1.705820104910126;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350760L;;;;
0350650S;Ecole maternelle publique Camille Claudel;Ecole;Public;102 boulevard la Duchesse Anne;;35700 RENNES;35700;35238;Rennes;035;14;53;1;0;;;;0257213023;;;ecole.0350650S@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238801512;73;;48.120612220201146, -1.6682155726029975;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352841.1;6790291.8;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Est;48.120612220201146;-1.6682155726029975;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350027P;;;;
0350652U;Ecole maternelle publique Marcel Pagnol;Ecole;Public;19 rue Jeanne Jugan;;35700 RENNES;35700;35238;Rennes;035;14;53;1;0;;;;0257213070;;;ecole.0350652U@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238800498;197;;48.11610327145083, -1.6509001306949322;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;354097.8;6789715.6;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Est;48.11610327145083;-1.6509001306949322;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350027P;;;;
0350653V;Ecole maternelle publique Moulin du Comte;Ecole;Public;103 rue DE LORIENT;;35000 RENNES;35000;35238;Rennes;035;14;53;1;0;;;;0257213076;;;ecole.0350653V@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238800571;153;;48.10833423970196, -1.7094598284378686;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;349696.2;6789111.9;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Ouest;48.10833423970196;-1.7094598284378686;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350895H;;;;
0350658A;Ecole maternelle publique Quineleu;Ecole;Public;1 rue DE RIAVAL;;35000 RENNES;35000;35238;Rennes;035;14;53;1;0;;;;0257213082;;;ecole.0350658A@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350238800795;157;;48.10169482613531, -1.668970366910602;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352660.8;6788196.5;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Centre Sud;48.10169482613531;-1.668970366910602;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350760L;;;;
0350687G;Ecole primaire publique Francis Chevalier;Ecole;Public;2 rue de la Mairie;;35960 LE VIVIER SUR MER;35960;35361;Le Vivier-sur-Mer;035;14;53;1;1;;;;0299489529;;;ecole.0350687G@ac-rennes.fr;1;0;0;;;;;;;;;;;;;REP;;21350361800034;94;;48.60295340433197, -1.7739393788539115;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;348227.6;6844276.2;EPSG:2154;Circonscription d'inspection du 1er degré du Pays Malouin;48.60295340433197;-1.7739393788539115;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350708E;;;;
0350902R;Ecole maternelle publique la Marelle;Ecole;Public;16 boulevard Plazanet;;35150 JANZE;35150;35136;Janzé;035;14;53;1;0;;;;0299470834;;;ecole.0350902R@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350136400037;149;;47.962380440181036, -1.4979597616804659;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;364487.4;6772001.9;EPSG:2154;Circonscription d'inspection du 1er degré de Châteaubourg;47.962380440181036;-1.4979597616804659;Numéro de rue;1968-10-07;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0351053E;;;;
0350941H;Ecole maternelle publique Guyenne;Ecole;Public;23 avenue de Guyenne;;35000 RENNES;35000;35238;Rennes;035;14;53;1;0;;;;0257213044;;;ecole.0350941H@ac-rennes.fr;1;0;0;;;;;;;;;;;;;REP;;21350238801017;146;;48.12089791453793, -1.718239447165223;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;349127.3;6790544.6;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Ouest;48.12089791453793;-1.718239447165223;Numéro de rue;1969-08-22;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0350895H;;;;
0350944L;Ecole maternelle publique Guillevic;Ecole;Public;2 chemin du Landrel;;35200 RENNES;35200;35238;Rennes;035;14;53;1;0;;;;0257213017;;;ecole.0350944L@ac-rennes.fr;1;0;0;;;;;;;;;;;;;REP+;;21350238800514;97;;48.08942397234678, -1.6546898679989834;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;353641.6;6786772.5;EPSG:2154;Circonscription d'inspection du 1er degré de Rennes Sud;48.08942397234678;-1.6546898679989834;Numéro de rue;1969-08-22;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0351851X;;;;
0351012K;Ecole primaire publique Henri Guérin;Ecole;Public;27 avenue Général Patton Chemin des Petits Pas;;35470 BAIN DE BRETAGNE;35470;35012;Bain-de-Bretagne;035;14;53;1;1;;;;0299439453;;;ecole.0351012K@ac-rennes.fr;1;0;1;;;;;;;;;;;;;;;21350012700153;231;;47.843486854065766, -1.6910459500900212;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;349316.9;6759652.3;EPSG:2154;Circonscription d'inspection du 1er degré de Bain-de-Bretagne;47.843486854065766;-1.6910459500900212;Rue;1970-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350970P;;;;
0351013L;Ecole élémentaire publique les Terre-Neuvas;Ecole;Public;49 rue du Port;;35260 CANCALE;35260;35049;Cancale;035;14;53;0;1;;;;0299898842;;;ecole.0351013L@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350049900024;107;;48.67392019882104, -1.8522503657192049;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;342948.9;6852502.7;EPSG:2154;Circonscription d'inspection du 1er degré du Pays Malouin;48.67392019882104;-1.8522503657192049;Numéro de rue;1970-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350003N;;;;
0351014M;Ecole maternelle publique Beausoleil;Ecole;Public;Rue des Ecoles;;35510 CESSON SEVIGNE;35510;35051;Cesson-Sévigné;035;14;53;1;0;;;;0299831334;;;ecole.0351014M@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350051500043;151;;48.116079314875826, -1.6091794927401901;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;357197.0;6789531.0;EPSG:2154;Circonscription d'inspection du 1er degré de Liffre;48.116079314875826;-1.6091794927401901;Numéro de rue;1970-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0351906G;;;;
0351019T;Ecole primaire publique Groupe Scolaire Cousteau;Ecole;Public;3 rue du Querpon MAURE-DE-BRETAGNE;;35330 VAL D ANAST;35330;35168;Val d'Anast;035;14;53;1;1;;;;0299349234;;;ecole.0351019T@ac-rennes.fr;1;0;1;;;;;;;;;;;;;;;20006447500045;280;;47.894022767966725, -1.9923199044081588;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;327178.8;6766637.2;EPSG:2154;Circonscription d'inspection du 1er degré de Redon;47.894022767966725;-1.9923199044081588;Numéro de rue;1970-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350017D;;;;
0351022W;Ecole élémentaire publique la Chesnaye;Ecole;Public;25 rue de la Libération;;35310 MORDELLES;35310;35196;Mordelles;035;14;53;0;1;;;;0299604861;;;ecole.0351022W@ac-rennes.fr;1;0;1;;;;;;;;;;;;;;;21350196800068;144;;48.07623422677897, -1.848059918283635;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;339180.6;6786175.3;EPSG:2154;Circonscription d'inspection du 1er degré de Pacé;48.07623422677897;-1.848059918283635;Numéro de rue;1970-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352030S;;;;
0351028C;Ecole élémentaire publique Jacques Prévert;Ecole;Public;20 rue Georges Guynemer SAINT- BRICE-EN-COGLES;;35460 MAEN ROCH;35460;35257;Maen Roch;035;14;53;0;1;;;;0299986797;;;ecole.0351028C@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;20006451700051;98;;48.411496927176955, -1.3702006325441183;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;376768.4;6821303.4;EPSG:2154;Circonscription d'inspection du 1er degré de Fougères;48.411496927176955;-1.3702006325441183;Rue;1970-06-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350040D;;;;
0351056H;Ecole primaire privée le Sacré Coeur;Ecole;Privé;2 place des Marronniers;;35750 IFFENDIC;35750;35133;Iffendic;035;14;53;1;1;;;;0299097181;;;ec.0351056H@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77769289800029;206;;48.128279922729355, -2.03493062537031;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;325659.7;6792817.7;EPSG:2154;Circonscription d'inspection du 1er degré de Montfort-sur-Meu;48.128279922729355;-2.03493062537031;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0351791G;;;;
0351059L;Ecole primaire privée St Joseph;Ecole;Privé;10 rue du Stade;;35850 IRODOUER;35850;35135;Irodouër;035;14;53;1;1;;;;0299398391;;;ec.0351059L@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;77769333400016;125;;48.24942194619543, -1.945319618497325;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;333156.0;6805833.5;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Grégoire;48.24942194619543;-1.945319618497325;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0350057X;;;;
0351092X;Ecole primaire privée St Joseph;Ecole;Privé;11 RUE DE L'ECOLE;;35220 MARPIRE;35220;35166;Marpiré;035;14;53;1;1;;;;0299498270;;;ec.0351092X@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;31818610300012;130;;48.14214843164069, -1.3379898499869856;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;377504.6;6791281.0;EPSG:2154;Circonscription d'inspection du 1er degré de Châteaubourg;48.14214843164069;-1.3379898499869856;Numéro de rue;1971-03-18;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0352448W;;;;
